timestamp[ms],left_dx[um],left_dy[um],left_dt[us],leftshutter,right_dx[um],right_dy[um],right_dt[us],rightshutter,waterPin
1351,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
1401,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
1451,0.000,0.000,50001.000,27392,0.000,0.000,50000.000,47616,0
1501,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
1551,0.000,0.000,49999.000,25856,0.000,0.000,50000.000,47616,0
1601,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
1651,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
1701,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
1751,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
1801,0.000,0.000,50001.000,25856,0.000,0.000,50000.000,47616,0
1851,0.000,0.000,49999.000,25856,0.000,0.000,50000.000,47616,0
1901,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
1951,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
2001,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
2051,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
2101,0.000,0.000,50001.000,25856,0.000,0.000,50000.000,47616,0
2151,0.000,0.000,49999.000,25856,0.000,0.000,50000.000,47616,0
2201,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
2251,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
2301,0.000,0.000,50001.000,25856,0.000,0.000,50000.000,47616,0
2351,0.000,0.000,49999.000,25856,0.000,0.000,50000.000,47616,0
2401,0.000,0.000,50001.000,25856,0.000,0.000,50000.000,47616,0
2451,0.000,0.000,49999.000,25856,0.000,0.000,50000.000,47616,0
2501,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
2551,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
2601,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
2651,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
2701,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,47616,0
2751,0.000,0.000,50001.000,25856,0.000,0.000,50000.000,47616,0
2801,0.000,0.000,49999.000,25856,0.000,0.000,50000.000,47616,0
2851,0.000,0.000,50001.000,25856,0.000,0.000,50000.000,47616,0
2901,0.000,0.000,49999.000,25856,0.000,0.000,50000.000,47616,0
2951,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
3001,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
3051,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
3101,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
3151,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
3201,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,47616,0
3251,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
3301,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
3351,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
3401,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
3451,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
3501,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
3551,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
3601,0.000,0.000,50001.000,27392,0.000,0.000,50000.000,50432,0
3651,0.000,0.000,49999.000,27392,0.000,0.000,50000.000,50432,0
3701,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
3751,0.000,0.000,50001.000,27392,0.000,0.000,50000.000,50432,0
3801,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
3851,0.000,0.000,49999.000,27392,0.000,0.000,50000.000,50432,0
3901,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
3951,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,50432,0
4001,0.000,0.000,50001.000,27392,0.000,0.000,50000.000,50432,0
4051,0.000,0.000,49999.000,25856,0.000,0.000,50000.000,50432,0
4101,0.000,0.000,50001.000,25856,0.000,0.000,50000.000,50432,0
4151,0.000,0.000,49999.000,25856,0.000,0.000,50000.000,50432,0
4201,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,50432,0
4251,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,50432,0
4301,0.000,0.000,50000.000,25856,0.000,0.000,50000.000,50432,0
4351,0.000,0.000,50000.000,38400,0.000,0.000,50000.000,59904,0
4401,0.000,0.000,50000.000,45056,0.000,0.000,50000.000,61952,0
4451,0.000,0.000,50000.000,44032,0.000,0.000,50000.000,59136,0
4501,0.000,0.000,50000.000,30720,0.000,0.000,50000.000,60160,0
4551,0.000,0.000,50000.000,19712,0.000,0.000,50000.000,57600,0
4601,14.941,-141.941,50000.000,26112,0.000,0.000,50000.000,769,0
4651,0.000,-29.882,50001.000,54784,-59.765,-381.000,50000.000,1537,0
4701,0.000,-29.882,49999.000,22016,0.000,-239.059,50000.000,5889,0
4751,261.471,-1083.235,50001.000,25088,-37.353,-470.647,50000.000,25345,0
4801,141.941,-657.412,49999.000,24320,-7.471,-89.647,50000.000,38145,0
4851,127.000,-657.412,50000.000,18176,0.000,-29.882,50000.000,28161,0
4901,1628.588,-5804.646,50000.000,16384,-14.941,-37.353,50000.000,29953,0
4951,1329.765,-5042.646,50000.000,16384,0.000,-37.353,50000.000,15105,0
5001,2173.941,-8307.294,50000.000,16128,7.471,-1598.706,50000.000,15105,0
5051,2046.941,-7821.706,50000.000,16384,0.000,-82.176,50000.000,8193,0
5101,1688.353,-5909.235,50001.000,14848,0.000,-14.941,50000.000,7425,0
5151,1165.412,-4594.412,49999.000,18688,-7.471,-171.824,50000.000,18433,0
5201,1897.529,-6282.764,50000.000,15616,-22.412,-186.765,50000.000,18177,0
5251,2741.706,-10481.234,50000.000,15872,0.000,-119.529,50000.000,42241,0
5301,3018.117,-11370.234,50000.000,16384,0.000,0.000,50000.000,58113,0
5351,2629.647,-10660.528,50000.000,13568,0.000,0.000,50000.000,40193,0
5401,2472.765,-10794.999,50000.000,18688,-14.941,-627.529,50000.000,46081,0
5451,1942.353,-8718.176,50000.000,18944,-29.882,-366.059,50000.000,48641,0
5501,732.118,-3331.882,50000.000,16384,-89.647,-672.353,50000.000,18689,0
5551,37.353,-209.176,50000.000,19200,0.000,-52.294,50000.000,11521,0
5601,0.000,0.000,50000.000,24320,-14.941,-231.588,50000.000,11521,0
5651,0.000,0.000,50000.000,26368,-52.294,-1464.235,50000.000,58112,0
5701,0.000,0.000,50001.000,29440,-186.765,-2472.765,50000.000,41472,0
5751,0.000,0.000,49999.000,22528,-37.353,-814.294,50000.000,50688,0
5801,0.000,0.000,50000.000,29952,-44.824,-851.647,50000.000,38400,0
5851,0.000,0.000,50000.000,32512,-89.647,-1307.353,50000.000,49664,0
5901,0.000,0.000,50001.000,23040,7.471,-881.529,50000.000,37888,0
5951,0.000,0.000,49999.000,24832,7.471,-276.412,50000.000,41472,0
6001,0.000,0.000,50000.000,24832,7.471,-37.353,50000.000,51200,0
6051,0.000,0.000,50000.000,25600,0.000,-254.000,50000.000,44288,0
6101,0.000,0.000,50000.000,19200,0.000,-37.353,50000.000,40960,0
6151,0.000,0.000,50000.000,20992,0.000,0.000,50000.000,48128,0
6201,0.000,0.000,50000.000,18176,0.000,0.000,50000.000,44544,0
6251,7.471,-22.412,50000.000,17664,0.000,0.000,50000.000,43776,0
6301,298.824,-754.529,50000.000,25088,0.000,-7.471,50000.000,42752,0
6351,7.471,-22.412,50000.000,25088,29.882,-97.118,50000.000,56064,0
6401,0.000,0.000,50000.000,24064,0.000,-14.941,50000.000,1025,0
6451,0.000,0.000,50000.000,20736,0.000,0.000,50000.000,57600,0
6501,0.000,0.000,50000.000,24320,0.000,0.000,50000.000,60928,0
6551,0.000,0.000,50001.000,23040,0.000,0.000,50000.000,15105,0
6601,0.000,0.000,49999.000,22272,0.000,0.000,50000.000,18945,0
6651,0.000,0.000,50000.000,22528,0.000,0.000,50000.000,13569,0
6701,22.412,-59.765,50000.000,18176,0.000,0.000,50000.000,22785,0
6751,283.882,-627.529,50000.000,16896,0.000,0.000,50000.000,27393,0
6801,119.529,-283.882,50000.000,21248,0.000,0.000,50000.000,10497,0
6851,134.471,-425.823,50000.000,31488,0.000,0.000,50000.000,10497,0
6901,0.000,0.000,50000.000,30464,0.000,0.000,50000.000,1281,0
6951,0.000,0.000,50000.000,31232,0.000,0.000,50000.000,9217,0
7001,0.000,0.000,50000.000,34304,74.706,7.471,50000.000,65280,0
7051,0.000,0.000,50000.000,26368,37.353,0.000,50000.000,3329,0
7101,0.000,0.000,50000.000,28672,0.000,0.000,50000.000,60928,0
7151,0.000,0.000,50000.000,26624,0.000,0.000,50000.000,2561,0
7201,0.000,0.000,50000.000,25344,0.000,0.000,50000.000,56576,0
7251,0.000,0.000,50000.000,22016,0.000,0.000,50000.000,9729,0
7301,0.000,0.000,50000.000,31744,0.000,0.000,50000.000,1,0
7351,0.000,0.000,50000.000,33024,0.000,0.000,50000.000,39680,0
7401,0.000,0.000,50000.000,33024,7.471,0.000,50000.000,1281,0
7451,0.000,0.000,50000.000,34560,59.765,-29.882,50000.000,4865,0
7501,0.000,0.000,50000.000,30464,0.000,-7.471,50000.000,57344,0
7551,0.000,0.000,50000.000,26368,0.000,0.000,50000.000,49664,0
7601,0.000,0.000,50001.000,25600,0.000,0.000,50000.000,62208,0
7651,0.000,0.000,49999.000,23808,0.000,0.000,50000.000,50944,0
7701,0.000,0.000,50000.000,24064,37.353,-37.353,50000.000,50176,0
7751,0.000,0.000,50000.000,22016,14.941,-14.941,50000.000,59904,0
7801,14.941,-22.412,50000.000,18944,0.000,0.000,50000.000,5121,0
7851,194.235,-366.059,50000.000,19968,261.471,-171.824,50000.000,11521,0
7901,478.118,-799.353,50000.000,19968,67.235,-67.235,50000.000,56320,0
7951,410.882,-769.471,50000.000,24064,7.471,0.000,50000.000,55552,0
8001,37.353,-59.765,50000.000,35072,0.000,0.000,50000.000,58368,0
8051,0.000,0.000,50000.000,25088,0.000,0.000,50000.000,54016,0
8101,0.000,0.000,50000.000,30464,0.000,0.000,50000.000,10241,0
8151,0.000,0.000,50000.000,34816,7.471,-14.941,50000.000,58624,0
8201,0.000,0.000,50000.000,36096,7.471,-7.471,50000.000,50688,0
8251,0.000,0.000,50000.000,30464,0.000,0.000,50000.000,53504,0
8301,0.000,0.000,50000.000,34304,0.000,0.000,50000.000,59648,0
8351,0.000,0.000,50000.000,29184,0.000,0.000,50000.000,55552,0
8401,0.000,0.000,50000.000,28416,0.000,0.000,50000.000,62208,0
8451,0.000,0.000,50000.000,27136,0.000,0.000,50000.000,51456,0
8501,0.000,0.000,50000.000,29696,0.000,0.000,50000.000,57344,0
8551,0.000,0.000,50001.000,26112,22.412,-22.412,50000.000,10753,0
8601,0.000,0.000,49999.000,26112,649.941,-582.706,50000.000,46336,0
8651,0.000,0.000,50000.000,27136,283.882,-201.706,50000.000,1,0
8701,0.000,0.000,50000.000,27136,0.000,0.000,50000.000,50432,0
8751,0.000,0.000,50001.000,17920,0.000,0.000,50000.000,56576,0
8801,0.000,0.000,49999.000,17920,0.000,0.000,50000.000,58880,0
8851,0.000,0.000,50000.000,26112,0.000,0.000,50000.000,46080,0
8901,0.000,0.000,50000.000,38144,0.000,0.000,50000.000,45824,0
8951,0.000,0.000,50000.000,29440,0.000,0.000,50000.000,51200,0
9001,0.000,0.000,50000.000,21248,0.000,0.000,50000.000,60416,0
9051,0.000,0.000,50000.000,27648,0.000,0.000,50000.000,60416,0
9101,0.000,0.000,50000.000,26624,0.000,0.000,50000.000,46592,0
9151,0.000,0.000,50000.000,28672,0.000,0.000,50000.000,51968,0
9201,0.000,0.000,50000.000,23296,0.000,0.000,50000.000,4353,0
9251,0.000,0.000,50000.000,24576,0.000,0.000,50000.000,50688,0
9301,0.000,0.000,50000.000,24576,0.000,0.000,50000.000,63744,0
9351,0.000,0.000,50000.000,30976,0.000,0.000,50000.000,1537,0
9401,0.000,0.000,50001.000,26368,0.000,0.000,50000.000,5121,0
9451,0.000,0.000,49999.000,26880,0.000,0.000,50000.000,13825,0
9501,0.000,0.000,50000.000,23040,0.000,0.000,50000.000,13313,0
9551,0.000,0.000,50000.000,33280,0.000,0.000,50000.000,18177,0
9601,74.706,-134.471,50000.000,25344,0.000,0.000,50000.000,7681,0
9651,29.882,-52.294,50000.000,26112,0.000,0.000,50000.000,7425,0
9701,0.000,0.000,50001.000,32512,0.000,0.000,50000.000,59904,0
9751,0.000,0.000,49999.000,29440,0.000,0.000,50000.000,59904,0
9801,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,49920,0
9851,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,49152,0
9901,0.000,0.000,50000.000,28160,89.647,29.882,50000.000,8961,0
9951,0.000,0.000,50000.000,35328,859.118,336.176,50000.000,47360,0
10001,0.000,0.000,50000.000,34048,104.588,37.353,50000.000,63488,0
10051,0.000,0.000,50000.000,33536,0.000,0.000,50000.000,49152,0
10101,0.000,0.000,50000.000,27904,0.000,0.000,50000.000,48640,0
10151,7.471,0.000,50000.000,45312,0.000,0.000,50000.000,7681,0
10201,590.176,-1060.823,50000.000,33024,0.000,0.000,50000.000,53760,0
10251,74.706,-156.882,50000.000,27136,0.000,0.000,50000.000,44544,0
10301,0.000,0.000,50000.000,22528,0.000,0.000,50000.000,52736,0
10351,0.000,0.000,50001.000,22272,0.000,0.000,50000.000,56320,0
10401,0.000,0.000,49999.000,23040,0.000,0.000,50000.000,48128,0
10451,0.000,0.000,50001.000,23808,0.000,0.000,50000.000,53248,0
10501,0.000,0.000,49999.000,26112,0.000,0.000,50000.000,62976,0
10551,0.000,0.000,50001.000,24064,22.412,-14.941,50000.000,54784,0
10601,0.000,0.000,49999.000,23808,7.471,-7.471,50000.000,54784,0
10651,0.000,0.000,50000.000,22272,0.000,0.000,50000.000,50944,0
10701,0.000,0.000,50000.000,29184,0.000,0.000,50000.000,60416,0
10751,0.000,0.000,50000.000,27136,313.765,-224.118,50000.000,59904,0
10801,0.000,0.000,50000.000,29696,485.588,-395.941,50000.000,1793,0
10851,0.000,0.000,50000.000,23040,0.000,0.000,50000.000,62976,0
10901,0.000,0.000,50000.000,25344,0.000,0.000,50000.000,55296,0
10951,0.000,0.000,50000.000,31232,0.000,0.000,50000.000,513,0
11001,0.000,0.000,50001.000,30976,0.000,0.000,50000.000,1,0
11051,0.000,0.000,49999.000,36096,0.000,0.000,50000.000,61440,0
11101,0.000,0.000,50000.000,35072,0.000,0.000,50000.000,7169,0
11151,0.000,0.000,50000.000,26880,0.000,0.000,50000.000,64000,0
11201,0.000,0.000,50000.000,29184,0.000,0.000,50000.000,2305,0
11251,0.000,0.000,50000.000,36352,0.000,0.000,50000.000,2049,0
11301,0.000,0.000,50000.000,25088,0.000,0.000,50000.000,15105,0
11351,0.000,0.000,50001.000,25088,0.000,0.000,50000.000,5377,0
11401,0.000,0.000,49999.000,35328,0.000,0.000,50000.000,9473,0
11451,0.000,0.000,50000.000,23040,0.000,0.000,50000.000,257,0
11501,0.000,0.000,50000.000,32256,0.000,0.000,50000.000,3841,0
11551,0.000,0.000,50000.000,25088,0.000,0.000,50000.000,61440,0
11601,0.000,0.000,50000.000,27392,0.000,0.000,50000.000,6913,0
11651,0.000,0.000,50000.000,25600,0.000,0.000,50000.000,1793,0
11701,0.000,0.000,50001.000,26880,0.000,0.000,50000.000,2049,0
11751,0.000,0.000,49999.000,26624,0.000,0.000,50000.000,59392,0
11801,0.000,0.000,50001.000,29696,0.000,0.000,50000.000,62720,0
11851,0.000,0.000,49999.000,27648,0.000,0.000,50000.000,9473,0
11901,0.000,0.000,50000.000,26880,0.000,0.000,50000.000,61952,0
11951,0.000,0.000,50000.000,25088,0.000,0.000,50000.000,257,0
12001,0.000,0.000,50000.000,26368,0.000,0.000,50000.000,61440,0
12051,0.000,0.000,50000.000,24832,0.000,0.000,50000.000,61440,0
12101,0.000,0.000,50000.000,33024,0.000,0.000,50000.000,16641,0
12151,0.000,0.000,50000.000,29696,0.000,0.000,50000.000,2561,0
12201,0.000,0.000,50000.000,39424,0.000,0.000,50000.000,6401,0
12251,0.000,0.000,50000.000,39424,0.000,0.000,50000.000,5889,0
12301,0.000,0.000,50000.000,36864,0.000,0.000,50000.000,1537,0
12351,0.000,0.000,50000.000,36352,0.000,0.000,50000.000,1281,0
12401,0.000,0.000,50000.000,32000,0.000,0.000,50000.000,62720,0
12451,0.000,0.000,50000.000,25088,0.000,0.000,50000.000,1025,0
12501,0.000,0.000,50001.000,26368,0.000,0.000,50000.000,62464,0
12551,0.000,0.000,50000.000,29184,0.000,0.000,50000.000,54528,0
12601,0.000,0.000,49999.000,30976,0.000,0.000,50000.000,50944,0
12651,0.000,0.000,50001.000,32768,0.000,0.000,50000.000,60160,0
12701,0.000,0.000,49999.000,36096,0.000,0.000,50000.000,49664,0
12751,0.000,0.000,50000.000,26624,0.000,0.000,50000.000,55808,0
12801,0.000,0.000,50000.000,26368,0.000,0.000,50000.000,58880,0
12851,0.000,0.000,50000.000,34816,0.000,0.000,50000.000,13825,0
12901,0.000,0.000,50000.000,32256,0.000,0.000,50000.000,8961,0
12951,0.000,0.000,50000.000,29952,0.000,0.000,50000.000,65280,0
13001,0.000,0.000,50000.000,34304,0.000,0.000,50000.000,65280,0
13051,0.000,0.000,50000.000,26112,0.000,0.000,50000.000,61184,0
13101,0.000,0.000,50000.000,32512,0.000,0.000,50000.000,64512,0
13151,0.000,0.000,50001.000,28416,0.000,0.000,50000.000,57088,0
13201,0.000,0.000,49999.000,37376,0.000,0.000,50000.000,59904,0
13251,0.000,0.000,50000.000,28928,0.000,0.000,50000.000,1793,0
13301,0.000,0.000,50000.000,35840,0.000,0.000,50000.000,10241,0
13351,0.000,0.000,50000.000,35584,0.000,0.000,50000.000,62720,0
13401,0.000,0.000,50001.000,27136,0.000,0.000,50000.000,1025,0
13451,0.000,0.000,49999.000,26624,0.000,0.000,50000.000,769,0
13501,0.000,0.000,50001.000,31488,0.000,0.000,50000.000,54784,0
13551,0.000,0.000,49999.000,27392,0.000,0.000,50000.000,51456,0
13601,0.000,0.000,50000.000,24320,0.000,0.000,50000.000,57856,0
13651,0.000,0.000,50000.000,26880,0.000,0.000,50000.000,3585,0
13701,0.000,0.000,50000.000,26368,0.000,0.000,50000.000,61184,0
13751,0.000,0.000,50000.000,24576,0.000,0.000,50000.000,64768,0
13801,0.000,0.000,50000.000,31744,0.000,0.000,50000.000,47104,0
13851,0.000,0.000,50000.000,23296,0.000,0.000,50000.000,52480,0
13901,0.000,0.000,50000.000,25344,0.000,0.000,50000.000,49408,0
13951,0.000,0.000,50000.000,24832,0.000,0.000,50000.000,46336,0
14001,0.000,0.000,50000.000,24832,0.000,0.000,50000.000,48896,0
14051,0.000,0.000,50001.000,23040,0.000,0.000,50000.000,48896,0
14101,0.000,0.000,49999.000,21760,0.000,0.000,50000.000,54784,0
14151,0.000,0.000,50001.000,21760,0.000,0.000,50000.000,51200,0
14201,0.000,0.000,49999.000,26880,0.000,0.000,50000.000,48128,0
14251,0.000,0.000,50000.000,29952,0.000,0.000,50000.000,54016,0
14301,0.000,0.000,50000.000,26112,0.000,0.000,50000.000,47616,0
14351,0.000,0.000,50000.000,26880,0.000,0.000,50000.000,50432,0
14401,0.000,0.000,50000.000,31744,0.000,0.000,50000.000,50176,0
14451,0.000,0.000,50000.000,26112,7.471,-7.471,50000.000,47104,0
14501,0.000,0.000,50000.000,32768,0.000,0.000,50000.000,49664,0
14551,0.000,0.000,50000.000,32256,0.000,0.000,50000.000,46592,0
14601,0.000,0.000,50000.000,29952,0.000,0.000,50000.000,49408,0
14651,0.000,0.000,50001.000,28928,0.000,0.000,50000.000,40960,0
14701,0.000,0.000,49999.000,28928,0.000,0.000,50000.000,46080,0
14751,0.000,0.000,50000.000,30208,0.000,0.000,50000.000,43264,0
14801,0.000,0.000,50000.000,31488,0.000,0.000,50000.000,54528,0
14851,0.000,0.000,50000.000,29440,0.000,0.000,50000.000,45056,0
14901,0.000,0.000,50000.000,36352,0.000,0.000,50000.000,57088,0
14951,0.000,0.000,50001.000,32256,0.000,0.000,50000.000,47360,0
15001,0.000,0.000,49999.000,31744,134.471,-119.529,50000.000,49920,0
15051,0.000,0.000,50000.000,33024,74.706,-67.235,50000.000,49920,0
15101,0.000,0.000,50000.000,30720,201.706,-141.941,50000.000,49664,0
15151,0.000,0.000,50000.000,26624,74.706,-52.294,50000.000,50176,0
15201,0.000,0.000,50001.000,23296,0.000,0.000,50000.000,46080,0
15251,0.000,0.000,49999.000,27136,0.000,0.000,50000.000,45568,0
15301,0.000,0.000,50001.000,26368,0.000,0.000,50000.000,48128,0
15351,0.000,0.000,49999.000,24320,0.000,0.000,50000.000,57088,0
15401,0.000,0.000,50000.000,32000,0.000,0.000,50000.000,47360,0
15451,0.000,0.000,50000.000,23808,0.000,0.000,50000.000,57088,0
15501,0.000,0.000,50000.000,24576,0.000,0.000,50000.000,52992,0
15551,0.000,0.000,50000.000,25600,0.000,0.000,50000.000,59136,0
15601,0.000,0.000,50000.000,19200,0.000,0.000,50000.000,51968,0
15651,0.000,0.000,50000.000,19200,0.000,0.000,50000.000,51968,0
15701,0.000,0.000,50000.000,28160,0.000,0.000,50000.000,45824,0
15751,0.000,0.000,50000.000,27904,0.000,0.000,50000.000,51456,0
15801,0.000,0.000,50000.000,24576,0.000,0.000,50000.000,61184,0
15851,0.000,0.000,50000.000,34816,0.000,0.000,50000.000,47360,0
15901,0.000,0.000,50000.000,25600,0.000,0.000,50000.000,46848,0
15951,0.000,0.000,50001.000,23808,0.000,0.000,50000.000,55552,0
16001,0.000,0.000,49999.000,24576,0.000,0.000,50000.000,52224,0
16051,0.000,0.000,50000.000,25088,0.000,0.000,50000.000,48384,0
16101,0.000,0.000,50000.000,26112,0.000,0.000,50000.000,48384,0
16151,0.000,0.000,50000.000,26112,0.000,0.000,50000.000,54272,0
16201,0.000,0.000,50000.000,30976,0.000,0.000,50000.000,50944,0
16251,0.000,0.000,50000.000,28672,0.000,0.000,50000.000,54016,0
16301,0.000,0.000,50000.000,28416,0.000,0.000,50000.000,57088,0
16351,0.000,0.000,50001.000,29696,0.000,0.000,50000.000,53504,0
16401,0.000,0.000,49999.000,33024,0.000,0.000,50000.000,56576,0
16451,0.000,0.000,50000.000,30976,0.000,0.000,50000.000,52992,0
16501,0.000,0.000,50000.000,32512,0.000,0.000,50000.000,59392,0
16551,0.000,0.000,50000.000,38400,0.000,0.000,50000.000,62720,0
16601,0.000,0.000,50001.000,35840,0.000,0.000,50000.000,48896,0
16651,0.000,0.000,49999.000,41984,0.000,0.000,50000.000,58112,0
16701,0.000,0.000,50000.000,41984,52.294,-44.824,50000.000,54272,0
16751,0.000,0.000,50000.000,39168,37.353,-37.353,50000.000,47872,0
16801,0.000,0.000,50000.000,38656,0.000,0.000,50000.000,53760,0
16851,0.000,0.000,50000.000,36608,0.000,0.000,50000.000,57088,0
16901,0.000,0.000,50001.000,40704,0.000,0.000,50000.000,50176,0
16951,0.000,0.000,50000.000,40448,0.000,0.000,50000.000,50176,0
17001,0.000,0.000,49999.000,40448,0.000,0.000,50000.000,50176,0
17051,0.000,0.000,50000.000,38144,0.000,0.000,50000.000,50176,0
17101,0.000,0.000,50000.000,40448,0.000,0.000,50000.000,50176,0
17151,0.000,0.000,50000.000,40448,0.000,0.000,50000.000,50176,0
17201,0.000,0.000,50000.000,35840,0.000,0.000,50000.000,50176,0
17251,0.000,0.000,50000.000,37888,0.000,0.000,50000.000,50176,0
17301,0.000,0.000,50000.000,40192,0.000,0.000,50000.000,53248,0
17351,0.000,0.000,50000.000,37888,0.000,0.000,50000.000,52992,0
17401,0.000,0.000,50000.000,37888,0.000,0.000,50000.000,52992,0
17451,0.000,0.000,50000.000,37888,0.000,0.000,50000.000,52992,0
17501,0.000,0.000,50000.000,37888,0.000,0.000,50000.000,52992,0
17551,0.000,0.000,50000.000,37888,0.000,0.000,50000.000,52992,0
17601,0.000,0.000,50001.000,40192,0.000,0.000,50000.000,52992,0
17651,0.000,0.000,49999.000,37888,0.000,0.000,50000.000,49920,0
17701,0.000,0.000,50001.000,37632,0.000,0.000,50000.000,63232,0
17751,0.000,0.000,49999.000,39936,0.000,0.000,50000.000,46848,0
17801,0.000,0.000,50001.000,39936,0.000,0.000,50000.000,49664,0
17851,0.000,0.000,49999.000,39936,0.000,0.000,50000.000,49664,0
17901,0.000,0.000,50000.000,39936,0.000,0.000,50000.000,49408,0
17951,0.000,0.000,50000.000,42240,0.000,0.000,50000.000,52480,0
18001,0.000,0.000,50000.000,37376,0.000,0.000,50000.000,52480,0
18051,0.000,0.000,50000.000,35072,0.000,0.000,50000.000,55552,0
18101,0.000,0.000,50000.000,32768,0.000,0.000,50000.000,49152,0
18151,0.000,0.000,50000.000,46592,0.000,0.000,50000.000,48896,0
18201,0.000,0.000,50000.000,32256,0.000,0.000,50000.000,57856,0
18251,0.000,0.000,50000.000,35840,-22.412,14.941,50000.000,50944,0
18301,0.000,0.000,50000.000,37888,0.000,0.000,50000.000,54016,0
18351,0.000,0.000,50000.000,33280,0.000,0.000,50000.000,64512,0
18401,0.000,0.000,50000.000,39424,0.000,0.000,50000.000,57088,0
18451,0.000,0.000,50000.000,28928,0.000,0.000,50000.000,53248,0
18501,0.000,0.000,50000.000,30720,0.000,0.000,50000.000,53248,0
