timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
2190431,,,10000.000,,,10000.000,0
2200431,,,10000.000,,,10000.000,0
2210431,,,10000.000,,,10000.000,0
2220431,,,10000.000,,,10000.000,0
2230431,,,10000.000,,,10000.000,0
2240431,,,10000.000,,,10000.000,0
2250431,,,10000.000,,,10000.000,0
2260431,,,10000.000,,,10000.000,0
2270431,,,10000.000,,,10000.000,0
2280431,,,10000.000,,,10000.000,0
2290431,,,10000.000,,,10000.000,0
2300431,,,10000.000,,,10000.000,0
2310431,,,10000.000,,,10000.000,0
2320431,,,10000.000,,,10000.000,0
2330432,,,10000.000,,,10000.000,0
2340432,,,10000.000,,,10000.000,0
2350431,,,10000.000,,,10000.000,0
2360431,,,10000.000,,,10000.000,0
2370431,,,10000.000,,,10000.000,0
2380431,,,10000.000,,,10000.000,0
2390431,,,10000.000,,,10000.000,0
2400431,,,10000.000,,,10000.000,0
2410431,,,10000.000,,,10000.000,0
2420431,,,10000.000,,,10000.000,0
2430431,,,10000.000,,,10000.000,0
2440431,,,10000.000,,,10000.000,0
2450431,,,10000.000,,,10000.000,0
2460431,,,10000.000,,,10000.000,0
2470431,,,10000.000,,,10000.000,0
2480431,,,10000.000,,,10000.000,0
2490431,,,10000.000,,,10000.000,0
2500431,,,10000.000,,,10000.000,0
2510431,,,10000.000,,,10000.000,0
2520431,,,10000.000,,,10000.000,0
2530431,,,10000.000,,,10000.000,0
2540431,,,10000.000,,,10000.000,0
2550431,,,10000.000,,,10000.000,0
2560431,,,10000.000,,,10000.000,0
2570431,,,10000.000,,,10000.000,0
2580431,,,10000.000,,,10000.000,0
2590431,,,10000.000,,,10000.000,0
2600431,,,10000.000,,,10000.000,0
2610431,,,10000.000,,,10000.000,0
2620431,,,10000.000,,,10000.000,0
2630431,,,10000.000,,,10000.000,0
2640431,,,10000.000,,,10000.000,0
2650431,,,10000.000,,,10000.000,0
2660431,,,10000.000,,,10000.000,0
2670431,,,10000.000,,,10000.000,0
2680431,,,10000.000,,,10000.000,0
2690431,,,10000.000,,,10000.000,0
2700431,,,10000.000,,,10000.000,0
2710431,,,10000.000,,,10000.000,0
2720431,,,10000.000,,,10000.000,0
2730431,,,10000.000,,,10000.000,0
2740431,,,10000.000,,,10000.000,0
2750431,,,10000.000,,,10000.000,0
2760431,,,10000.000,,,10000.000,0
2770431,,,10000.000,,,10000.000,0
2780431,,,10000.000,,,10000.000,0
2790431,,,10000.000,,,10000.000,0
2800431,,,10000.000,,,10000.000,0
2810431,,,10000.000,,,10000.000,0
2820431,,,10000.000,,,10000.000,0
2830431,,,10000.000,,,10000.000,0
2840431,,,10000.000,,,10000.000,0
2850431,,,10000.000,,,10000.000,0
2860431,,,10000.000,,,10000.000,0
2870431,,,10000.000,,,10000.000,0
2880431,,,10000.000,,,10000.000,0
