timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
4551,-1501.588,-395.941,50000.000,45.00,-1643.529,694.765,50000.000,47.00,0
4601,-1277.470,-508.000,50000.000,55.00,-1434.353,156.882,50000.000,38.00,0
4651,-821.765,-246.529,50000.000,33.00,-1068.294,-7.471,50000.000,46.00,0
4701,-679.823,-37.353,50000.000,26.00,-597.647,74.706,50000.000,41.00,0
4751,-186.765,-97.118,50000.000,29.00,-500.529,-97.118,50000.000,47.00,0
4801,-134.471,239.059,50000.000,39.00,0.000,-119.529,50000.000,35.00,0
4851,82.176,231.588,50000.000,37.00,0.000,-268.941,50000.000,50.00,0
4901,149.412,156.882,50000.000,40.00,164.353,-306.294,50000.000,46.00,0
4951,194.235,104.588,50000.000,48.00,254.000,14.941,50000.000,47.00,0
5001,291.353,-97.118,50000.000,46.00,321.235,112.059,50000.000,37.00,0
5051,433.294,-194.235,50000.000,44.00,381.000,-141.941,50000.000,35.00,0
5101,485.588,112.059,50000.000,38.00,605.118,104.588,50000.000,40.00,0
5151,605.118,216.647,50000.000,43.00,762.000,-44.824,50000.000,37.00,0
5201,732.118,82.176,50000.000,36.00,769.471,-283.882,50000.000,47.00,0
5251,605.118,112.059,50000.000,55.00,851.647,-14.941,50000.000,56.00,0
5301,657.412,59.765,50000.000,41.00,889.000,52.294,50000.000,58.00,0
5351,769.471,-29.882,50000.000,49.00,866.588,-104.588,50000.000,53.00,0
5401,776.941,-22.412,50000.000,41.00,896.471,-179.294,50000.000,48.00,0
5451,866.588,149.412,50000.000,33.00,986.118,37.353,50000.000,61.00,0
5501,806.823,141.941,50000.000,56.00,1016.000,-74.706,50000.000,44.00,0
5551,769.471,112.059,50000.000,41.00,941.294,-89.647,50000.000,54.00,0
5601,844.176,67.235,50000.000,37.00,948.765,-22.412,50000.000,55.00,0
5651,762.000,82.176,50000.000,41.00,911.412,-59.765,50000.000,47.00,0
5701,851.647,104.588,50000.000,46.00,866.588,-52.294,50000.000,56.00,0
5751,672.353,82.176,50000.000,34.00,806.823,-52.294,50000.000,53.00,0
5801,597.647,82.176,50000.000,31.00,762.000,-104.588,50000.000,54.00,0
5851,694.765,52.294,50000.000,32.00,679.823,-156.882,50000.000,67.00,0
5901,590.176,134.471,50000.000,46.00,672.353,7.471,50000.000,78.00,0
5951,537.882,-7.471,50000.000,44.00,627.529,29.882,50000.000,59.00,0
6001,560.294,-261.471,50000.000,42.00,500.529,-44.824,50000.000,57.00,0
6051,276.412,7.471,50000.000,29.00,679.823,209.176,50000.000,51.00,0
6101,448.235,-216.647,50000.000,42.00,590.176,-89.647,50000.000,53.00,0
6151,739.588,-74.706,50000.000,37.00,642.471,-127.000,50000.000,72.00,0
6201,620.059,298.824,50000.000,50.00,911.412,-59.765,50000.000,62.00,0
6251,702.235,156.882,50000.000,28.00,732.118,-239.059,50000.000,64.00,0
6301,515.471,164.353,50000.000,43.00,836.706,-89.647,50000.000,61.00,0
6351,582.706,-7.471,50000.000,50.00,657.412,-29.882,50000.000,62.00,0
6401,530.412,0.000,50000.000,33.00,605.118,-14.941,50000.000,53.00,0
6451,455.706,82.176,50000.000,43.00,605.118,29.882,50000.000,59.00,0
6501,448.235,74.706,50000.000,26.00,500.529,-89.647,50000.000,62.00,0
6551,306.294,22.412,50000.000,36.00,418.353,-82.176,50000.000,72.00,0
6601,224.118,29.882,50000.000,51.00,321.235,14.941,50000.000,69.00,0
6651,231.588,22.412,50000.000,44.00,239.059,0.000,50000.000,57.00,0
6701,104.588,59.765,50000.000,38.00,89.647,-119.529,50000.000,55.00,0
6751,-14.941,97.118,50000.000,39.00,-74.706,-186.765,50000.000,55.00,0
6801,-291.353,82.176,50000.000,39.00,-351.118,-156.882,50000.000,54.00,0
6851,-560.294,-366.059,50000.000,41.00,-874.059,-231.588,50000.000,58.00,0
6901,-889.000,-239.059,50000.000,51.00,-956.235,283.882,50000.000,72.00,0
6951,-889.000,-186.765,50000.000,35.00,-1038.412,224.118,50000.000,66.00,0
7001,-821.765,-224.118,50000.000,44.00,-1105.647,-67.235,50000.000,49.00,0
7051,-1008.529,-37.353,50000.000,51.00,-1053.353,0.000,50000.000,71.00,0
7101,-1083.235,-127.000,50000.000,28.00,-1150.470,7.471,50000.000,65.00,0
7151,-1001.059,-171.824,50000.000,32.00,-1232.647,-7.471,50000.000,48.00,0
7201,-1098.176,-74.706,50000.000,53.00,-1217.706,276.412,50000.000,61.00,0
7251,-1157.941,-44.824,50000.000,38.00,-1270.000,112.059,50000.000,65.00,0
7301,-1060.823,-425.823,50000.000,46.00,-1613.647,-418.353,50000.000,51.00,0
7351,-1202.765,-112.059,50000.000,38.00,-1344.706,67.235,50000.000,55.00,0
7401,-1292.412,104.588,50000.000,42.00,-1397.000,313.765,50000.000,59.00,0
7451,-1314.823,-156.882,50000.000,54.00,-1665.941,-291.353,50000.000,38.00,0
7501,-1524.000,-201.706,50000.000,41.00,-1822.823,74.706,50000.000,59.00,0
7551,-1628.588,-522.941,50000.000,37.00,-2061.882,246.529,50000.000,38.00,0
7601,-1636.059,-388.471,50000.000,42.00,-1942.353,216.647,50000.000,56.00,0
7651,-1494.118,-194.235,50000.000,31.00,-1710.765,-119.529,50000.000,48.00,0
7701,-1389.529,-7.471,50000.000,51.00,-1524.000,141.941,50000.000,45.00,0
7751,-1157.941,403.412,50000.000,50.00,-1053.353,201.706,50000.000,42.00,0
7801,-664.882,366.059,50000.000,50.00,-791.882,-179.294,50000.000,42.00,0
7851,-261.471,216.647,50000.000,39.00,-366.059,-440.765,50000.000,39.00,0
7901,328.706,635.000,50000.000,26.00,567.765,-343.647,50000.000,48.00,0
7951,1778.000,1075.765,50000.000,51.00,1778.000,-2106.706,50000.000,46.00,0
8001,3697.941,1927.412,50000.000,43.00,3645.647,-5117.353,50000.000,52.00,0
8051,6223.000,2054.412,50000.000,47.00,5281.706,-7702.176,50000.000,44.00,0
8101,7791.823,2345.765,50000.000,42.00,7620.000,-6372.411,50000.000,61.00,0
8151,9136.528,5588.000,50000.000,43.00,10877.176,-4579.470,50000.000,68.00,0
8201,11452.411,4392.706,50000.000,28.00,12580.470,-9285.940,50000.000,43.00,0
8251,14463.058,2248.647,50000.000,48.00,12565.528,-15120.470,50000.000,70.00,0
8301,15404.352,1621.118,50000.000,37.00,14821.646,-11908.117,50000.000,81.00,0
8351,13215.470,5207.000,50000.000,44.00,15972.116,-4228.353,50000.000,36.00,0
8401,14993.470,7769.411,50000.000,40.00,17921.939,-6163.235,50000.000,52.00,0
8451,15359.528,3922.059,50000.000,31.00,16084.176,-8247.529,50000.000,61.00,0
8501,14365.940,2278.529,50000.000,42.00,14724.528,-10772.588,50000.000,69.00,0
8551,15180.234,2069.353,50000.000,43.00,16136.470,-8822.764,50000.000,87.00,0
8601,14492.940,1979.706,50000.000,42.00,17294.410,-5834.529,50000.000,14.00,0
8651,16890.998,-276.412,50000.000,44.00,14575.116,-8837.705,50000.000,49.00,0
8701,17959.293,-1008.529,50000.000,48.00,16054.293,-13245.352,50000.000,38.00,0
8751,18967.822,702.235,50000.000,81.00,18922.998,-14881.411,50000.000,79.00,0
8801,19005.176,1001.059,50000.000,51.00,19303.998,-10369.176,50000.000,59.00,0
8851,17540.939,4041.588,50000.000,64.00,18706.352,-9891.059,50000.000,65.00,0
8901,19154.588,2674.470,50000.000,50.00,19483.293,-11332.882,50000.000,30.00,0
8951,19289.057,679.823,50000.000,52.00,18258.117,-10921.999,50000.000,39.00,0
9001,20603.881,1531.470,50000.000,55.00,20178.057,-10025.528,50000.000,72.00,0
9051,21380.822,1217.706,50000.000,38.00,21716.998,-9607.176,50000.000,74.00,0
9101,21858.939,4392.706,50000.000,39.00,24899.469,-11556.999,50000.000,86.00,0
9151,22942.176,7007.411,50000.000,46.00,27484.293,-13364.882,50000.000,75.00,0
9201,24593.176,3623.235,50000.000,46.00,26139.586,-16734.117,50000.000,79.00,0
9251,25414.939,2144.059,50000.000,36.00,26161.998,-14769.352,50000.000,55.00,0
9301,23121.469,1628.588,50000.000,41.00,25594.234,-10339.293,50000.000,79.00,0
9351,24510.998,2838.823,50000.000,52.00,26423.469,-11026.588,50000.000,40.00,0
9401,23883.469,4833.470,50000.000,36.00,24690.293,-11288.058,50000.000,62.00,0
9451,24212.176,1352.176,50000.000,46.00,23203.645,-11377.705,50000.000,35.00,0
9501,22942.176,-1277.470,50000.000,54.00,22591.057,-7896.411,50000.000,48.00,0
9551,21306.115,-3795.059,50000.000,51.00,23771.410,-3496.235,50000.000,78.00,0
9601,18639.117,-5550.646,50000.000,26.00,21978.469,-5378.823,50000.000,61.00,0
9651,20491.822,-8479.117,50000.000,51.00,20424.586,-5281.706,50000.000,67.00,0
9701,19162.057,-4900.706,50000.000,45.00,20506.764,-2950.882,50000.000,61.00,0
9751,18639.117,-164.353,50000.000,38.00,20327.469,1479.176,50000.000,75.00,0
9801,16562.293,3384.176,50000.000,41.00,19557.998,5236.882,50000.000,81.00,0
9851,14933.705,-612.588,50000.000,45.00,17877.117,5251.823,50000.000,60.00,0
9901,13633.822,-9136.528,50000.000,25.00,14537.764,6529.293,50000.000,84.00,0
9951,12528.176,-9480.176,50000.000,48.00,14179.176,7769.411,50000.000,53.00,0
10001,12804.587,-1501.588,50000.000,44.00,15501.470,3257.176,50000.000,69.00,0
10051,13342.470,5871.882,50000.000,38.00,16442.764,-3234.764,50000.000,76.00,0
10101,11385.176,-2024.529,50000.000,44.00,12177.058,-4766.235,50000.000,50.00,0
10151,9226.176,-7814.235,50000.000,34.00,8471.646,-1404.470,50000.000,76.00,0
10201,8322.234,-6850.529,50000.000,48.00,8553.823,2173.941,50000.000,54.00,0
10251,7552.764,-2704.353,50000.000,48.00,8718.176,4796.117,50000.000,81.00,0
10301,7522.882,-4101.353,50000.000,53.00,8673.353,3645.647,50000.000,74.00,0
10351,7052.235,-13252.822,50000.000,33.00,4362.823,2779.059,50000.000,65.00,0
10401,6708.588,-15972.116,50000.000,32.00,3033.059,4205.941,50000.000,85.00,0
10451,5961.529,-11295.528,50000.000,43.00,4415.117,6320.117,50000.000,77.00,0
10501,5214.470,-12079.940,50000.000,68.00,4213.412,7141.882,50000.000,39.00,0
