timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
16100434,,,50000.000,,,50000.000,0
16150434,,,50000.000,,,50000.000,0
16200434,,,50000.000,,,50000.000,0
16250434,,,50000.000,,,50000.000,0
16300434,,,50000.000,,,50000.000,0
16350434,,,50000.000,,,50000.000,0
16400434,,,50000.000,,,50000.000,0
16450434,,,50000.000,,,50000.000,0
16500434,,,50000.000,,,50000.000,0
16550434,,,50000.000,,,50000.000,0
16600434,,,50000.000,,,50000.000,0
16650434,,,50000.000,,,50000.000,0
16700434,,,50000.000,,,50000.000,0
16750434,,,50000.000,,,50000.000,0
16800433,,,50000.000,,,50000.000,0
16850434,,,50000.000,,,50000.000,0
16900434,,,50000.000,,,50000.000,0
16950433,,,50000.000,,,50000.000,0
17000434,,,50000.000,,,50000.000,0
17050433,,,50000.000,,,50000.000,0
17100433,,,50000.000,,,50000.000,0
17150434,,,50000.000,,,50000.000,0
17200434,,,50000.000,,,50000.000,0
17250434,,,50000.000,,,50000.000,0
17300434,,,50000.000,,,50000.000,0
17350433,,,50000.000,,,50000.000,0
17400434,,,50000.000,,,50000.000,0
17450433,,,50000.000,,,50000.000,0
17500433,,,50000.000,,,50000.000,0
17550434,,,50000.000,,,50000.000,0
17600434,,,50000.000,,,50000.000,0
17650434,,,50000.000,,,50000.000,0
17700434,,,50000.000,,,50000.000,0
17750434,,,50000.000,,,50000.000,0
17800434,,,50000.000,,,50000.000,0
17850433,,,50000.000,,,50000.000,0
17900434,,,50000.000,,,50000.000,0
17950434,,,50000.000,,,50000.000,0
18000434,,,50000.000,,,50000.000,0
18050433,,,50000.000,,,50000.000,0
18100434,,,50000.000,,,50000.000,0
18150434,,,50000.000,,,50000.000,0
18200433,,,50000.000,,,50000.000,0
18250433,,,50000.000,,,50000.000,0
18300434,,,50000.000,,,50000.000,0
18350433,,,50000.000,,,50000.000,0
18400434,,,50000.000,,,50000.000,1
18450434,,,50000.000,,,50000.000,1
18500434,,,50000.000,,,50000.000,0
18550434,,,50000.000,,,50000.000,0
18600434,,,50000.000,,,50000.000,0
18650434,,,50000.000,,,50000.000,0
18700434,,,50000.000,,,50000.000,0
18750434,,,50000.000,,,50000.000,0
18800434,,,50000.000,,,50000.000,0
18850433,,,50000.000,,,50000.000,0
18900434,,,50000.000,,,50000.000,0
18950434,,,50000.000,,,50000.000,0
19000434,,,50000.000,,,50000.000,0
19050434,,,50000.000,,,50000.000,0
19100434,,,50000.000,,,50000.000,0
19150434,,,50000.000,,,50000.000,0
19200433,,,50000.000,,,50000.000,0
19250434,,,50000.000,,,50000.000,0
19300434,,,50000.000,,,50000.000,0
19350434,,,50000.000,,,50000.000,0
19400434,,,50000.000,,,50000.000,0
19450434,,,50000.000,,,50000.000,0
19500434,,,50000.000,,,50000.000,0
19550434,,,50000.000,,,50000.000,0
