timestamp[ms],left_dx[um],left_dy[um],left_dt[us],left_sq44right_dx[um],right_dy[um],right_dt[us],right_sq,waterPin
8901,-9510.059,-6312.646,50000.000,83.00,-9637.059,-485.588,50000.000,61.00,0
8951,-9659.470,-5998.882,50000.000,58.00,-9622.117,-567.765,50000.000,76.00,0
9001,-9659.470,-5580.529,50000.000,73.00,-9793.940,-575.235,50000.000,55.00,0
9051,-9256.059,-4452.470,50000.000,51.00,-9278.470,-1411.941,50000.000,69.00,0
9101,-8113.058,-2838.823,50000.000,46.00,-8337.176,-2592.294,50000.000,58.00,0
9151,-7582.646,-575.235,50000.000,59.00,-7605.058,-2383.117,50000.000,54.00,0
9201,-7283.823,-784.412,50000.000,79.00,-6641.353,-1919.941,50000.000,52.00,0
9251,-7052.235,-4459.941,50000.000,49.00,-7418.293,-2398.059,50000.000,57.00,0
9301,-7366.000,-5617.882,50000.000,47.00,-7881.470,-926.353,50000.000,75.00,0
9351,-7493.000,-5558.117,50000.000,60.00,-7067.176,1135.529,50000.000,54.00,0
9401,-7022.353,-6985.000,50000.000,38.00,-7470.588,-829.235,50000.000,71.00,0
9451,-6462.059,-5744.882,50000.000,47.00,-7418.293,-2741.706,50000.000,64.00,0
9501,-6170.706,-3660.588,50000.000,52.00,-6633.882,-4064.000,50000.000,51.00,0
9551,-4811.059,-2218.765,50000.000,48.00,-5849.470,-4064.000,50000.000,58.00,0
9601,-4385.235,-590.176,50000.000,61.00,-4497.294,-3033.059,50000.000,54.00,0
9651,-3735.294,-3085.353,50000.000,39.00,-4258.235,-3511.176,50000.000,63.00,0
9701,-3839.882,-5072.529,50000.000,55.00,-5124.823,-3018.117,50000.000,53.00,0
9751,-4609.353,-3989.294,50000.000,45.00,-4646.706,-463.176,50000.000,78.00,0
9801,-5035.176,-4213.412,50000.000,48.00,-4579.470,418.353,50000.000,74.00,0
9851,-4669.117,-6178.176,50000.000,43.00,-5416.176,-1755.588,50000.000,64.00,0
9901,-4422.588,-5632.823,50000.000,50.00,-5356.412,-3130.176,50000.000,64.00,0
9951,-3750.235,-4228.353,50000.000,46.00,-4504.764,-4146.176,50000.000,67.00,0
10001,-3085.353,-2898.588,50000.000,39.00,-3847.353,-3996.764,50000.000,70.00,0
10051,-2652.059,-2764.117,50000.000,42.00,-3287.059,-2674.470,50000.000,68.00,0
10101,-2726.764,-3810.000,50000.000,42.00,-3488.764,-2039.470,50000.000,90.00,0
10151,-2764.117,-2562.412,50000.000,38.00,-2973.294,-754.529,50000.000,95.00,0
10201,-2637.117,-754.529,50000.000,48.00,-2166.470,1165.412,50000.000,85.00,0
10251,-2330.823,-1397.000,50000.000,45.00,-1875.118,702.235,50000.000,93.00,0
10301,-2203.823,-2853.764,50000.000,51.00,-2674.470,-941.294,50000.000,85.00,0
10351,-2248.647,-3145.117,50000.000,45.00,-2674.470,-933.823,50000.000,84.00,0
10401,-2562.412,-3802.529,50000.000,35.00,-3234.764,-1583.765,50000.000,67.00,0
10451,-2472.765,-3974.353,50000.000,45.00,-3324.412,-2084.294,50000.000,66.00,0
10501,-2577.353,-3683.000,50000.000,38.00,-3212.353,-2009.588,50000.000,75.00,0
10551,-2442.882,-3750.235,50000.000,43.00,-3122.706,-2592.294,50000.000,83.00,0
10601,-2293.470,-3115.235,50000.000,31.00,-3025.588,-2868.706,50000.000,78.00,0
10651,-2151.529,-687.294,50000.000,38.00,-2554.941,-1748.118,50000.000,83.00,0
10701,-1934.882,1195.294,50000.000,59.00,-1546.412,-366.059,50000.000,78.00,0
10751,-1919.941,-552.823,50000.000,42.00,-1651.000,-231.588,50000.000,78.00,0
10801,-1890.059,-2009.588,50000.000,31.00,-2689.412,-1501.588,50000.000,53.00,0
10851,-1949.823,-67.235,50000.000,45.00,-2002.118,-657.412,50000.000,68.00,0
10901,-2323.353,1591.235,50000.000,42.00,-1531.470,545.353,50000.000,74.00,0
10951,-2278.529,22.412,50000.000,51.00,-1897.529,-127.000,50000.000,78.00,0
11001,-2540.000,-3668.059,50000.000,34.00,-3600.823,-1733.176,50000.000,71.00,0
11051,-2906.059,-2823.882,50000.000,46.00,-3526.117,-1718.235,50000.000,58.00,0
11101,-3025.588,-1934.882,50000.000,40.00,-2965.823,-1411.941,50000.000,54.00,0
11151,-1919.941,-2435.412,50000.000,50.00,-2510.117,-2046.941,50000.000,61.00,0
11201,-1419.412,-2525.059,50000.000,26.00,-2091.765,-3391.647,50000.000,50.00,0
11251,-911.412,-933.823,50000.000,20.00,-1486.647,-1927.412,50000.000,49.00,0
11301,-694.765,1538.941,50000.000,51.00,-254.000,52.294,50000.000,73.00,0
11351,-134.471,1225.176,50000.000,54.00,381.000,216.647,50000.000,67.00,0
11401,-254.000,-1143.000,50000.000,41.00,-903.941,-844.176,50000.000,56.00,0
11451,-635.000,-552.823,50000.000,37.00,-694.765,366.059,50000.000,39.00,0
11501,-1001.059,1703.294,50000.000,53.00,276.412,2726.764,50000.000,61.00,0
