timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]waterPin
11100433,,,50000.000,,,50000.000,0
11150433,,,50000.000,,,50000.000,0
11200433,,,50000.000,,,50000.000,0
11250433,,,50000.000,,,50000.000,0
11300433,,,50000.000,,,50000.000,0
11350433,,,50000.000,,,50000.000,0
11400433,,,50000.000,,,50000.000,0
11450433,,,50000.000,,,50000.000,0
11500433,,,50000.000,,,50000.000,0
11550433,,,50000.000,,,50000.000,0
11600433,,,50000.000,,,50000.000,0
11650433,,,50000.000,,,50000.000,0
11700433,,,50000.000,,,50000.000,0
11750433,,,50000.000,,,50000.000,0
11800433,,,50000.000,,,50000.000,0
11850433,,,50000.000,,,50000.000,0
11900433,,,50000.000,,,50000.000,0
11950433,,,50000.000,,,50000.000,0
12000433,,,50000.000,,,50000.000,0
12050433,,,50000.000,,,50000.000,0
12100433,,,50000.000,,,50000.000,0
12150433,,,50000.000,,,50000.000,0
12200433,,,50000.000,,,50000.000,0
12250433,,,50000.000,,,50000.000,0
12300433,,,50000.000,,,50000.000,0
12350433,,,50000.000,,,50000.000,0
12400433,,,50000.000,,,50000.000,0
12450433,,,50000.000,,,50000.000,0
12500433,,,50000.000,,,50000.000,0
12550433,,,50000.000,,,50000.000,0
12600433,,,50000.000,,,50000.000,0
12650433,,,50000.000,,,50000.000,0
12700433,,,50000.000,,,50000.000,0
12750433,,,50000.000,,,50000.000,0
12800433,,,50000.000,,,50000.000,0
12850433,,,50000.000,,,50000.000,0
12900433,,,50000.000,,,50000.000,0
12950433,,,50000.000,,,50000.000,0
13000433,,,50000.000,,,50000.000,0
13050433,,,50000.000,,,50000.000,0
13100433,,,50000.000,,,50000.000,0
13150433,,,50000.000,,,50000.000,0
13200433,,,50000.000,,,50000.000,0
13250433,,,50000.000,,,50000.000,0
13300433,,,50000.000,,,50000.000,0
13350433,,,50000.000,,,50000.000,0
13400433,,,50000.000,,,50000.000,0
13450433,,,50000.000,,,50000.000,0
13500433,,,50000.000,,,50000.000,0
13550433,,,50000.000,,,50000.000,0
13600433,,,50000.000,,,50000.000,0
13650433,,,50000.000,,,50000.000,0
13700433,,,50000.000,,,50000.000,0
13750433,,,50000.000,,,50000.000,0
13800433,,,50000.000,,,50000.000,0
13850433,,,50000.000,,,50000.000,0
13900433,,,50000.000,,,50000.000,0
13950433,,,50000.000,,,50000.000,0
14000433,,,50000.000,,,50000.000,0
14050433,,,50000.000,,,50000.000,0
14100433,,,50000.000,,,50000.000,0
14150433,,,50000.000,,,50000.000,0
14200433,,,50000.000,,,50000.000,0
14250433,,,50000.000,,,50000.000,0
14300433,,,50000.000,,,50000.000,0
14350433,,,50000.000,,,50000.000,0
14400433,,,50000.000,,,50000.000,0
