timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
2341,22.412,-52.294,20000.000,160,0.000,-14.941,20000.000,160,0
2361,14.941,-37.353,20000.000,160,7.471,-22.412,20000.000,160,0
2381,14.941,-37.353,20000.000,160,0.000,-14.941,20000.000,160,0
2401,14.941,-44.824,20000.000,160,0.000,-14.941,20000.000,160,0
2421,14.941,-52.294,20000.000,160,0.000,-22.412,20000.000,160,0
2441,14.941,-52.294,20000.000,160,0.000,-14.941,20000.000,160,0
2461,22.412,-52.294,20000.000,160,0.000,-14.941,20000.000,160,0
2481,14.941,-44.824,20000.000,160,0.000,-14.941,20000.000,160,0
2501,7.471,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
2521,14.941,-29.882,20000.000,160,7.471,-14.941,20000.000,160,0
2541,7.471,-22.412,20000.000,160,0.000,-7.471,20000.000,160,0
2561,7.471,-22.412,20000.000,160,7.471,-7.471,20000.000,160,0
2581,14.941,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
2601,14.941,-37.353,20000.000,160,0.000,-7.471,20000.000,160,0
2621,7.471,-37.353,20000.000,160,7.471,-14.941,20000.000,160,0
2641,7.471,-22.412,20000.000,160,0.000,-14.941,20000.000,160,0
2661,7.471,-22.412,20000.000,160,7.471,-7.471,20000.000,160,0
2681,7.471,-22.412,20000.000,160,0.000,-14.941,20000.000,160,0
2701,14.941,-14.941,20000.000,160,7.471,0.000,20000.000,160,0
2721,7.471,-22.412,20000.000,160,0.000,-7.471,20000.000,160,0
2741,7.471,-7.471,20000.000,160,7.471,-14.941,20000.000,160,0
2761,7.471,-22.412,20000.000,160,0.000,-14.941,20000.000,160,0
2781,7.471,-7.471,20000.000,160,7.471,-7.471,20000.000,160,0
2801,0.000,-7.471,20000.000,160,0.000,0.000,20000.000,32,0
2821,0.000,-7.471,20000.000,160,0.000,-7.471,20000.000,160,0
