timestamp[ms],left_dx[um],left_dy[um],left_dt[us],motL,right_dx[um],right_dy[um],right_dt[us],motR,waterPin
4001,89.647,-164.353,4020309.000,0,0.000,0.000,4020305.000,0,0
4021,89.647,-164.353,4040309.000,0,0.000,0.000,4040305.000,0,0
4041,89.647,-164.353,4060309.000,0,0.000,0.000,4060305.000,0,0
4061,89.647,-164.353,4080309.000,0,0.000,0.000,4080305.000,0,0
4081,89.647,-164.353,4100309.000,0,0.000,0.000,4100305.000,0,0
4101,89.647,-164.353,4120309.000,0,0.000,0.000,4120305.000,0,0
4121,89.647,-164.353,4140309.000,0,0.000,0.000,4140305.000,0,0
4141,89.647,-164.353,4160309.000,0,0.000,0.000,4160305.000,0,0
4161,89.647,-164.353,4180309.000,0,0.000,0.000,4180305.000,0,0
4181,89.647,-164.353,4200309.000,0,0.000,0.000,4200305.000,0,0
4201,89.647,-164.353,4220309.000,0,0.000,0.000,4220305.000,0,0
4221,89.647,-164.353,4240309.000,0,0.000,0.000,4240305.000,0,0
4241,89.647,-164.353,4260309.000,0,0.000,0.000,4260305.000,0,0
4261,89.647,-164.353,4280309.000,0,0.000,0.000,4280305.000,0,0
4281,89.647,-164.353,4300309.000,0,0.000,0.000,4300305.000,0,0
4301,89.647,-164.353,4320309.000,0,0.000,0.000,4320305.000,0,0
4321,89.647,-164.353,4340309.000,0,0.000,0.000,4340305.000,0,0
4341,89.647,-164.353,4360309.000,0,0.000,0.000,4360305.000,0,0
4361,89.647,-164.353,4380309.000,0,0.000,0.000,4380305.000,0,0
4381,89.647,-164.353,4400309.000,0,0.000,0.000,4400305.000,0,0
4401,89.647,-164.353,4420309.000,0,0.000,0.000,4420305.000,0,0
4421,89.647,-164.353,4440309.000,0,0.000,0.000,4440305.000,0,0
4441,89.647,-164.353,4460309.000,0,0.000,0.000,4460305.000,0,0
4461,89.647,-164.353,4480309.000,0,0.000,0.000,4480305.000,0,0
4481,89.647,-164.353,4500309.000,0,0.000,0.000,4500305.000,0,0
4501,89.647,-164.353,4520309.000,0,0.000,0.000,4520305.000,0,0
4521,89.647,-164.353,4540309.000,0,0.000,0.000,4540305.000,0,0
4541,89.647,-164.353,4560309.000,0,0.000,0.000,4560305.000,0,0
4561,89.647,-164.353,4580309.000,0,0.000,0.000,4580305.000,0,0
4581,89.647,-164.353,4600309.000,0,0.000,0.000,4600305.000,0,0
4601,89.647,-164.353,4620309.000,0,0.000,0.000,4620305.000,0,0
4621,89.647,-164.353,4640309.000,0,0.000,0.000,4640305.000,0,0
4641,89.647,-164.353,4660309.000,0,0.000,0.000,4660305.000,0,0
4661,89.647,-164.353,4680309.000,0,0.000,0.000,4680305.000,0,0
4681,89.647,-164.353,4700309.000,0,0.000,0.000,4700305.000,0,0
4701,89.647,-164.353,4720309.000,0,0.000,0.000,4720305.000,0,0
4721,89.647,-164.353,4740309.000,0,0.000,0.000,4740305.000,0,0
4741,89.647,-164.353,4760309.000,0,0.000,0.000,4760305.000,0,0
4761,89.647,-164.353,4780309.000,0,0.000,0.000,4780305.000,0,0
4781,89.647,-164.353,4800309.000,0,0.000,0.000,4800305.000,0,0
4801,89.647,-164.353,4820309.000,0,0.000,0.000,4820305.000,0,0
4821,89.647,-164.353,4840309.000,0,0.000,0.000,4840305.000,0,0
4841,89.647,-164.353,4860309.000,0,0.000,0.000,4860305.000,0,0
4861,89.647,-164.353,4880309.000,0,0.000,0.000,4880305.000,0,0
4881,89.647,-164.353,4900309.000,0,0.000,0.000,4900305.000,0,0
4901,89.647,-164.353,4920309.000,0,0.000,0.000,4920305.000,0,0
4921,89.647,-164.353,4940309.000,0,0.000,0.000,4940305.000,0,0
4941,89.647,-164.353,4960309.000,0,0.000,0.000,4960305.000,0,0
4961,89.647,-164.353,4980309.000,0,0.000,0.000,4980305.000,0,0
4981,89.647,-164.353,5000309.000,0,0.000,0.000,5000305.000,0,0
5001,89.647,-164.353,5020309.000,0,0.000,0.000,5020305.000,0,0
5021,89.647,-164.353,5040309.000,0,0.000,0.000,5040305.000,0,0
5041,89.647,-164.353,5060309.000,0,0.000,0.000,5060305.000,0,0
5061,89.647,-164.353,5080309.000,0,0.000,0.000,5080305.000,0,0
5081,89.647,-164.353,5100309.000,0,0.000,0.000,5100305.000,0,0
5101,89.647,-164.353,5120309.000,0,0.000,0.000,5120305.000,0,0
5121,89.647,-164.353,5140309.000,0,0.000,0.000,5140305.000,0,0
5141,89.647,-164.353,5160309.000,0,0.000,0.000,5160305.000,0,0
5161,89.647,-164.353,5180309.000,0,0.000,0.000,5180305.000,0,0
5181,89.647,-164.353,5200309.000,0,0.000,0.000,5200305.000,0,0
