timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us],t=0.0510319995
5311356,171.824,127.000,50134.000,-1.992,-1.992,50136.000,t=6.1148681640
5361619,395.941,493.059,50128.000,-1.992,-1.992,50127.000,t=6.1649842262
5411735,582.706,829.235,755.000,-1.992,-1.992,1380.000,t=6.2151041030
5413120,7.471,14.941,49365.000,-1.992,-1.992,48740.000,t=6.2652158737
5461847,657.412,410.882,50128.000,-1.992,-1.992,50127.000,t=6.3153362274
5511994,5789.706,-1725.706,50122.000,-1.992,-1.992,50124.000,t=6.3654518127
5562126,-537.882,-52.294,50128.000,-1.992,-1.992,50126.000,t=6.4155721664
5612247,-5969.000,-14.941,50124.000,-1.992,-1.992,50124.000,t=6.4656801223
5662370,7.471,-14.941,50118.000,-1.992,-1.992,50119.000,t=6.5157918930
5712461,0.000,1434.353,741.000,-1.992,-1.992,1379.000,t=6.5659079551
5713786,0.000,0.000,49393.000,-1.992,-1.992,48756.000,t=6.6160159111
5762485,-74.706,-433.294,50134.000,-1.992,-1.992,50132.000,t=6.6661238670
5812751,14.941,-239.059,50133.000,-1.992,-1.992,50134.000,t=6.7162318229
5862883,89.647,-7.471,50126.000,-1.992,-1.992,50125.000,t=6.7663397789
5912988,261.471,-22.412,50132.000,-1.992,-1.992,50133.000,t=6.8164482116
5963134,328.706,-22.412,756.000,-1.992,-1.992,1381.000,t=6.8665637969
5964509,0.000,-7.471,49373.000,-1.992,-1.992,48747.000,t=6.9166841506
6013191,59.765,-224.118,50132.000,-1.992,-1.992,50133.000,t=6.9668002128
6063397,-22.412,-44.824,50132.000,-1.992,-1.992,50131.000,t=7.0169157981
6113527,52.294,82.176,756.000,-1.992,-1.992,1380.000,t=7.0670280456
6114904,7.471,0.000,49375.000,-1.992,-1.992,48754.000,t=7.1171441078
6163572,627.529,97.118,50127.000,-1.992,-1.992,50124.000,t=7.1672601699
6213792,14.941,-231.588,50127.000,-1.992,-1.992,50127.000,t=7.2173719406
6263928,-127.000,-231.588,50119.000,-1.992,-1.992,50119.000,t=7.2674841880
6314053,-97.118,-127.000,50126.000,-1.992,-1.992,50128.000,t=7.3175997734
6364167,-1531.470,-1531.470,50127.000,-1.992,-1.992,50126.000,t=7.3677120208
6414315,-1531.470,-1531.470,50126.000,-1.992,-1.992,50125.000,t=7.4178237915
6464438,-1531.470,-1531.470,784.000,-1.992,-1.992,1379.000,t=7.4679360389
6465803,-1531.470,-1531.470,49337.000,-1.992,-1.992,48742.000,t=7.5180478096
6514564,-1531.470,-1531.470,50137.000,-1.992,-1.992,50140.000,t=7.5681557655
6564690,-1531.470,-1531.470,50136.000,-1.992,-1.992,50133.000,t=7.6182680130
6614826,-1531.470,-1531.470,50128.000,-1.992,-1.992,50128.000,t=7.6683759689
6664956,-1531.470,-1531.470,50135.000,-1.992,-1.992,50135.000,t=7.7184958457
6715099,-1531.470,-1531.470,787.000,-1.992,-1.992,1381.000,t=7.7686080932
6716460,-1531.470,-1531.470,49341.000,-1.992,-1.992,48748.000,t=7.8187198638
6765228,-1531.470,-1531.470,50133.000,-1.992,-1.992,50132.000,t=7.8688359260
6815351,-1531.470,-1531.470,50131.000,-1.992,-1.992,50131.000,t=7.9189519882
6865487,-1531.470,-1531.470,50133.000,-1.992,-1.992,50133.000,t=7.9690718650
6915616,-22.412,-7.471,50124.000,-1.992,-1.992,50125.000,t=8.0191879272
6965696,-3630.706,1075.765,50128.000,-1.992,-1.992,50128.000,t=8.0692996978
7015856,-1949.823,209.176,50128.000,-1.992,-1.992,50127.000,t=8.1194124221
7065995,373.529,448.235,778.000,-1.992,-1.992,1380.000,t=8.1695241928
7067357,7.471,0.000,49345.000,-1.992,-1.992,48744.000,t=8.2196397781
7116023,306.294,321.235,50123.000,-1.992,-1.992,50122.000,t=8.2697439193
7166236,-29.882,67.235,50123.000,-1.992,-1.992,50123.000,t=8.3198556900
7216351,-112.059,67.235,766.000,-1.992,-1.992,1381.000,t=8.3699636459
7217712,1912.470,0.000,49356.000,-1.992,-1.992,48742.000,t=8.4200716018
7266419,-52.294,0.000,50124.000,-1.992,-1.992,50123.000,t=8.4701795578
7316530,-156.882,67.235,698.000,-1.992,-1.992,1380.000,t=8.5203037261
7317969,5737.411,-1456.765,49433.000,-1.992,-1.992,48751.000,t=8.5704278945
7366750,-97.118,-22.412,787.000,-1.992,-1.992,1381.000,t=8.6205396652
7368085,0.000,-1680.882,49349.000,-1.992,-1.992,48755.000,t=8.6706523895
7416813,97.118,-246.529,714.000,-1.992,-1.992,1379.000,t=8.7207641601
7418226,0.000,-7.471,49416.000,-1.992,-1.992,48752.000,t=8.7708759307
7466904,149.412,-261.471,675.000,-1.992,-1.992,1379.000,t=8.8209877014
7468347,0.000,0.000,49455.000,-1.992,-1.992,48751.000,t=8.8711080551
7516991,-29.882,-14.941,50126.000,-1.992,-1.992,50125.000,t=8.9212284088
7567248,-149.412,-104.588,50133.000,-1.992,-1.992,50133.000,t=8.9713478088
7617383,-5901.764,1434.353,765.000,-1.992,-1.992,1380.000,t=9.0214643478
7618765,0.000,0.000,49364.000,-1.992,-1.992,48749.000,t=9.0715675354
7667381,-1949.823,0.000,634.000,-1.992,-1.992,1380.000,t=9.1216802597
7668827,0.000,0.000,49492.000,-1.992,-1.992,48749.000,t=9.1717920303
7717505,-239.059,-44.824,50128.000,-1.992,-1.992,50125.000,t=9.2218999862
7767757,-22.412,-44.824,50129.000,-1.992,-1.992,50129.000,t=9.2720117568
7817882,343.647,1494.118,50128.000,-1.992,-1.992,50128.000,t=9.3221282958
7868030,254.000,59.765,50131.000,-1.992,-1.992,50133.000,t=9.3722524642
7918149,134.471,52.294,760.000,-1.992,-1.992,1379.000,t=9.4223680496
7919520,5737.411,-1613.647,49359.000,-1.992,-1.992,48738.000,t=9.4724884033
